mpid	WELLNO	NTERVL_TYP	NTERVL_NUM	NTERVL_TOP	NTERVL_BOT	SCREEN_SIZ	AQ1	CU1	AQ2	CU2	AQ3	CU3	AQ4	CU4	AQ5	CU5	AQ6	CU6	AQ7	CU7	AQ8	CU8	AQ9L	CU9L	AQ9M	CU9M	AQ9U	CU9U	AQ10	DIAMETER	INT_COMNT	NEW_INTERVAL	IUPDATE	IUPDATEBY
375318075334404	100-00009	G	1	0	74		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f		10-31-03, bjq, Interval retrieved from STORET.  Grout.		2003-10-31 00:00:00	
375318075334404	100-00009	H	1	0	74		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	22	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375318075334404	100-00009	H	2	74	295		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	17	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375318075334404	100-00009	H	3	295	330		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	10	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375318075334404	100-00009	S	1	132	140		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375318075334404	100-00009	S	2	156	170		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375318075334404	100-00009	S	3	196	208		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375318075334404	100-00009	S	4	214	222		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.		2003-11-05 00:00:00	
375318075334404	100-00009	S	5	226	234		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.		2003-11-05 00:00:00	
375318075334404	100-00009	S	6	272	287		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375538075330200	100-00007	C	1	0	369		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	3	MAS 6/25/04 from Storet		2004-06-25 00:00:00	
375538075330200	100-00007	H	1	0			f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	MAS 6/25/04 from Storet		2004-06-25 00:00:00	
375538075330200	100-00007	S	1	369	374		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	3	MAS 6/25/04 from Storet		2004-06-25 00:00:00	
